"","ID","kingdom","phylum","class","nameUk","BernAppendix2","BernAppendix3","Bonn","AEWA","IUCN","BernResolution6","ЧКУ","BernAppendix1","CITES","EUROBATS","ACCOBAMS","BirdsDirective","HabitatsDirective","Invasive","ЧС_Полтавська","ЧС_Чернівецька","ЧС_Житомирська","ЧС_Вінницька","ЧС_Харківська","ЧС_Чернігівська","ЧС_Черкаська","ЧС_Івано_Франківська","ЧС_Рівненська","ЧС_Одеська","ЧС_Сумська","ЧС_Закарпатська","ЧС_Львівська","ЧС_Миколаївська","ЧС_Донецька","ЧС_Херсонська","ЧС_Севастополь","ЧС_Тернопільська","ЧС_Київ","ЧС_Волинська","ЧС_Хмельницька","ЧС_Запорізька","ЧС_Кіровоградська","ЧС_Луганська","ЧС_Київська","ЧС_Дніпропетровська"
"44",44,"Animalia","Chordata","Amphibia","Тритон Кареліна","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45",45,"Animalia","Chordata","Amphibia","Тритон альпійський","","yes","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46",46,"Animalia","Chordata","Amphibia","Тритон звичайний","","yes","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","yes","","","","yes","yes","","","","yes","yes","","","","","","yes"
"47",47,"Animalia","Chordata","Amphibia","Тритон карпатський","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48",48,"Animalia","Chordata","Amphibia","Саламандра вогняна","","yes","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49",49,"Animalia","Cnidaria","Hydrozoa","Меризія азовська","","","","",NA,"","недостатньо відомий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50",50,"Animalia","Cnidaria","Hydrozoa","Оліндіас несподіваний","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"51",51,"Animalia","Cnidaria","Hydrozoa","Азовець облямований","","","","",NA,"","недостатньо відомий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52",52,"Animalia","Porifera","Demospongiae","Бодяга ставкова","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"53",53,"Animalia","Porifera","Demospongiae","Бодяга річкова","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"54",54,"Animalia","Bryozoa","Phylactolaemata","Мохуватка гребінчаста","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"55",55,"Animalia","Bryozoa","Phylactolaemata","Мохуватка клубчаста","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"56",56,"Animalia","Bryozoa","Phylactolaemata","Мохуватка повзуча","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"57",57,"Animalia","Cnidaria","Hydrozoa","Гідра довгостебла","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"58",58,"Animalia","Cnidaria","Hydrozoa","Гідра зелена","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"59",59,"Animalia","Cnidaria","Hydrozoa","Корділофора каспійська","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"60",60,"Animalia","Cnidaria","Hydrozoa","Меризія азовська","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"61",61,"Animalia","Annelida","Hirudinea","П'явунка черепашача","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"62",62,"Animalia","Mollusca","Gastropoda","Лунка річкова","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"63",63,"Animalia","Mollusca","Gastropoda","Дернівка тірольська","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","yes","","","","","","","","","","","",""
"64",64,"Animalia","Mollusca","Gastropoda","Агатівка широка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","yes","","","","","","","","yes","","",""
"65",65,"Animalia","Mollusca","Gastropoda","Завиток широкий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","yes","","","","","","","","","","","",""
"66",66,"Animalia","Mollusca","Gastropoda","Трункателіна ребриста","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"67",67,"Animalia","Mollusca","Gastropoda","Лацініарія зубата","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","yes","","","","","","","","","","","",""
"68",68,"Animalia","Mollusca","Gastropoda","Кришталівка стиснута","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"69",69,"Animalia","Mollusca","Gastropoda","Блискучка зеленкувата","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"70",70,"Animalia","Mollusca","Bivalvia","Мускуліум озерний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"71",71,"Animalia","Arthropoda","Branchiopoda","Щитень весняний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","yes","","","","yes","","","","","","","","","","",""
"72",72,"Animalia","Arthropoda","Branchiopoda","Щитень літній","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","yes","","","","","","","","","","","","","","",""
"73",73,"Animalia","Arthropoda","Branchiopoda","Хіроцефал Жадіна","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"74",74,"Animalia","Arthropoda","Branchiopoda","Стрептоцефал грізнорогий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"75",75,"Animalia","Arthropoda","Branchiopoda","Лінкей короткохвостий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"76",76,"Animalia","Arthropoda","Copepoda","Гемідіаптом угорський","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"77",77,"Animalia","Arthropoda","Arachnida","Ерезус чорний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","yes","","","","","","","","","","",""
"78",78,"Animalia","Arthropoda","Arachnida","Мустелікоза половинчаста","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"79",79,"Animalia","Arthropoda","Arachnida","Гнафоза кримська","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
