verbatimScientificName,kingdom,phylum,class,nameUk,BernAppendix2,BernAppendix3,Bonn,AEWA,BernResolution6,HabitatsDirectiveAnnex_V,HabitatsDirectiveAnnex_IV,HabitatsDirectiveAnnex_II,BirdsDirectiveAnnex_IІ,BirdsDirectiveAnnex_I,ЧКУ,IUCN,BernAppendix1,EUROBATS,ACCOBAMS,Invasive,ЧС_Полтавська,ЧС_Чернівецька,ЧС_Житомирська,ЧС_Вінницька,ЧС_Харківська,ЧС_Чернігівська,ЧС_Черкаська,ЧС_Івано_Франківська,ЧС_Рівненська,ЧС_Одеська,ЧС_Сумська,ЧС_Закарпатська,ЧС_Львівська,ЧС_Миколаївська,ЧС_Донецька,ЧС_Херсонська,ЧС_Севастополь,ЧС_Тернопільська,ЧС_Київ,ЧС_Волинська,ЧС_Хмельницька,ЧС_Запорізька,ЧС_Кіровоградська,ЧС_Луганська,ЧС_Київська,ЧС_Дніпропетровська
"Hyla arborea (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Райка звичайна,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyla orientalis Bedriaga, 1890",Animalia,Chordata,Amphibia,Райка східна,,yes,,,,,,,,,,,,,,,,yes,yes,,yes,,,,,yes,yes,,,yes,yes,,,,yes,,,,,,,yes
"Pelobates fuscus (Laurenti, 1768)",Animalia,Chordata,Amphibia,Часничниця звичайна,yes,,,,,,yes,,,,,,,,,,yes,yes,,,,,,,,yes,,,,yes,,,,,,,yes,,yes,,,
"Pelobates vespertinus (Pallas, 1771)",Animalia,Chordata,Amphibia,Часничниця Палласа,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus cristatus (Laurenti, 1768)",Animalia,Chordata,Amphibia,Тритон гребінчастий,yes,,,,yes,,yes,yes,,,вразливий,,,,,,yes,yes,yes,,yes,,,,,,yes,,,yes,,,,,yes,,,,yes,,,
"Triturus dobrogicus (Kiritzescu, 1903)",Animalia,Chordata,Amphibia,Тритон дунайський,yes,,,,yes,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
"Triturus karelinii (Strauch, 1870)",Animalia,Chordata,Amphibia,Тритон Кареліна,yes,,,,yes,,yes,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mesotriton alpestris (Laurenti, 1768)",Animalia,Chordata,Amphibia,Тритон альпійський,,yes,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lissotriton vulgaris (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Тритон звичайний,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,,,yes,yes,,,,,,yes
"Lissotriton montandoni (Boulenger, 1880)",Animalia,Chordata,Amphibia,Тритон карпатський,yes,,,,yes,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salamandra salamandra (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Саламандра вогняна,,yes,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odessia maeotica (Ostroumoff, 1896)",Animalia,Cnidaria,Hydrozoa,Меризія азовська,,,,,,,,,,,недостатньо відомий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olindias inexpectata (Ostroumov, 1896)",Animalia,Cnidaria,Hydrozoa,Оліндіас несподіваний,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
"Maeotias marginata (Modeer, 1791)",Animalia,Cnidaria,Hydrozoa,Азовець облямований,,,,,,,,,,,недостатньо відомий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spongilla lacustris (Linnaeus, 1759)",Animalia,Porifera,Demospongiae,Бодяга ставкова,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Ephydatia fluviatilis (Linnaeus, 1759)",Animalia,Porifera,Demospongiae,Бодяга річкова,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Cristatella mucedo Cuvier, 1798",Animalia,Bryozoa,Phylactolaemata,Мохуватка гребінчаста,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Plumatella fungosa (Pallas, 1768)",Animalia,Bryozoa,Phylactolaemata,Мохуватка клубчаста,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Plumatella repens (Linnaeus, 1758)",Animalia,Bryozoa,Phylactolaemata,Мохуватка повзуча,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Pelmatohydra oligactis (Pallas, 1766)",Animalia,Cnidaria,Hydrozoa,Гідра довгостебла,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Chlorohydra viridissima (Pallas, 1766)",Animalia,Cnidaria,Hydrozoa,Гідра зелена,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Cordylophora caspia (Pallas, 1771)",Animalia,Cnidaria,Hydrozoa,Корділофора каспійська,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
"Moerisia maeotica (Ostroumoff, 1896)",Animalia,Cnidaria,Hydrozoa,Меризія азовська,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
"Placobdella costata (Muller, 1846)",Animalia,Annelida,Hirudinea,П'явунка черепашача,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Theodoxus fluviatilis (Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Лунка річкова,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Vallonia enniensis (Gredler, 1856)",Animalia,Mollusca,Gastropoda,Дернівка тірольська,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,
"Cochlicopa nitens (M.von Gallenstein, 1848)",Animalia,Mollusca,Gastropoda,Агатівка широка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,
"Vertigo antivertigo (Draparnaud, 1801)",Animalia,Mollusca,Gastropoda,Завиток широкий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,
"Truncatellina costulata (Nilsson, 1823)",Animalia,Mollusca,Gastropoda,Трункателіна ребриста,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Laciniaria plicata (Draparnaud, 1801)",Animalia,Mollusca,Gastropoda,Лацініарія зубата,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,
"Vitrea contracta (Westerlund, 1871)",Animalia,Mollusca,Gastropoda,Кришталівка стиснута,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Perpolita petronella (L.Pfeiffer, 1853)",Animalia,Mollusca,Gastropoda,Блискучка зеленкувата,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Musculium lacustre (O.F.Muller, 1774)",Animalia,Mollusca,Bivalvia,Мускуліум озерний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Lepidurus apus (Linnaeus, 1758)",Animalia,Arthropoda,Branchiopoda,Щитень весняний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,yes,,,,,,,,,,,
"Triops cancriformis (Bosc, 1801)",Animalia,Arthropoda,Branchiopoda,Щитень літній,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,
"Chirocephalus shadini (Smirnov, 1928)",Animalia,Arthropoda,Branchiopoda,Хіроцефал Жадіна,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Streptocephalus torvicornis (Waga, 1842)",Animalia,Arthropoda,Branchiopoda,Стрептоцефал грізнорогий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Lynceus brachyurus O.F.Muller, 1776",Animalia,Arthropoda,Branchiopoda,Лінкей короткохвостий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Hemidiaptomus hungaricus Kiefer, 1932",Animalia,Arthropoda,Copepoda,Гемідіаптом угорський,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Eresus kollari Rossi, 1846",Animalia,Arthropoda,Arachnida,Ерезус чорний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,
"Mustelicosa dimidiata (Thorell, 1875)",Animalia,Arthropoda,Arachnida,Мустелікоза половинчаста,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Gnaphosa taurica Thorell, 1875",Animalia,Arthropoda,Arachnida,Гнафоза кримська,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Gnaphosa lugubris (C.L.Koch, 1839)",Animalia,Arthropoda,Arachnida,Гнафоза жалобна,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Xysticus mongolicus Schenkel, 1963",Animalia,Arthropoda,Arachnida,Кзістікус монгольський,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Yllenus vittatus Thorell, 1875",Animalia,Arthropoda,Arachnida,Іленус прикрашений,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Sympetrum depressiusculum Selys, 1841",Animalia,Arthropoda,Insecta,Тонкочеревець сплющений,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,yes,,,,,,,,,,,,
"Chalcolestes parvidens (Artobolevsky, 1929)",Animalia,Arthropoda,Insecta,Лютка дрібнозубчаста,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Coenagrion hastulatum Charpentier, 1825",Animalia,Arthropoda,Insecta,Стрілка списоносна,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Vilpianus galii (Wolff, 1802)",Animalia,Arthropoda,Insecta,Вільпіанус підмаренників,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
