verbatimScientificName,kingdom,phylum,class,nameUk,BernAppendix2,BernAppendix3,Bonn,AEWA,BernResolution6,HabitatsDirectiveAnnex_V,HabitatsDirectiveAnnex_IV,HabitatsDirectiveAnnex_II,BirdsDirectiveAnnex_IІ,BirdsDirectiveAnnex_I,ЧКУ,IUCN,BernAppendix1,EUROBATS,ACCOBAMS,Invasive,ЧС_Полтавська,ЧС_Чернівецька,ЧС_Житомирська,ЧС_Вінницька,ЧС_Харківська,ЧС_Чернігівська,ЧС_Черкаська,ЧС_Івано_Франківська,ЧС_Рівненська,ЧС_Одеська,ЧС_Сумська,ЧС_Закарпатська,ЧС_Львівська,ЧС_Миколаївська,ЧС_Донецька,ЧС_Херсонська,ЧС_Севастополь,ЧС_Тернопільська,ЧС_Київ,ЧС_Волинська,ЧС_Хмельницька,ЧС_Запорізька,ЧС_Кіровоградська,ЧС_Луганська,ЧС_Київська,ЧС_Дніпропетровська
Colchicum fominii Bordz.,Plantae,Tracheophyta,Magnoliopsida,Пізньоцвіт Фоміна,,,,,yes,,,,,,вразливий,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Colchicum umbrosum (Ker Gawl.) Steven,Plantae,Tracheophyta,Magnoliopsida,Пізньоцвіт тіньовий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astragalus albidus Waldst. & Kit.,Plantae,Tracheophyta,Magnoliopsida,Астрагал білуватий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes
Astragalus austriacus Jacq.,Plantae,Tracheophyta,Magnoliopsida,Астрагал австрійський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Carlina biebersteinii Bernh. ex Hornem.,Plantae,Tracheophyta,Magnoliopsida,Відкасник Біберштейна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hordelymus europaeus (L.) Jess. ex Harz,Plantae,Tracheophyta,Liliopsida,Горделімус європейський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,
Onosma macrochaeta Klokov & Dobrocz.,Plantae,Tracheophyta,Magnoliopsida,Громовик великощетинистий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,yes
Onosma taurica Pall. ex Willd.,Plantae,Tracheophyta,Magnoliopsida,Громовик кримський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio nemorensis L.,Plantae,Tracheophyta,Magnoliopsida,Жовтозілля дібровне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Euphorbia tyraica Klokov & Artemczuk,Plantae,Tracheophyta,Magnoliopsida,Молочай дністровський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Loranthus europaeus Jacq.,Plantae,Tracheophyta,Magnoliopsida,Ремнецвітник європейський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Thalictrum simplex L.,Plantae,Tracheophyta,Magnoliopsida,Рутвиця проста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teucrium pannonicum A.Kern.,Plantae,Tracheophyta,Magnoliopsida,Самосил паннонський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Thelypteris palustris Schott,Plantae,Tracheophyta,Polypodiopsida,Теліптерис болотяний,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,yes,yes,yes,yes,,,,,,yes,,yes,yes,,yes
Cleistogenes bulgarica (Bornm.) Keng,Plantae,Tracheophyta,Liliopsida,Зміївка болгарська,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
Cleistogenes serotina (L.) Keng,Plantae,Tracheophyta,Liliopsida,Зміївка пізня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Lappula semicincta (Stev.) Popov,Plantae,Tracheophyta,Magnoliopsida,Липучка напівоточена,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Poterium sanguisorba L.,Plantae,Tracheophyta,Magnoliopsida,Чорноголовник родовиковий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes
Rosa nitidula Besser,Plantae,Tracheophyta,Magnoliopsida,Шипшина блискуча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Rosa rubrifolia R.Br.,Plantae,Tracheophyta,Magnoliopsida,Шипшина червонолиста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
"Ligularia carpatica (Schott, Nyman & Kotschy) Pojark.",Plantae,Tracheophyta,Magnoliopsida,Язичник карпатський,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
Colchicum triphyllum Kunze,Plantae,Tracheophyta,Magnoliopsida,Пізньоцвіт трилистий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colchicum versicolor Ker Gawl.,Plantae,Tracheophyta,Magnoliopsida,Пізньоцвіт різнобарвний,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex alba Scop.,Plantae,Tracheophyta,Magnoliopsida,Осока біла,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bicolor All.,Plantae,Tracheophyta,Magnoliopsida,Осока двоколірна,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex bohemica Schreb.,Plantae,Tracheophyta,Magnoliopsida,Осока богемська,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Carex brunnescens (Pers.) Poiret,Plantae,Tracheophyta,Magnoliopsida,Осока буріюча,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex buxbaumii Wahlenb.,Plantae,Tracheophyta,Magnoliopsida,Осока Буксбаума,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex chordorhiza Ehrh.,Plantae,Tracheophyta,Magnoliopsida,Осока тонкокореневищна,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
Carex davalliana Smith,Plantae,Tracheophyta,Magnoliopsida,Осока Девелла,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex depauperata Curt. ex With.,Plantae,Tracheophyta,Magnoliopsida,Осока збіднена,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex dioica L.,Plantae,Tracheophyta,Magnoliopsida,Осока дводомна,,,,,,,,,,,вразливий,,,,,,yes,,,yes,,,,,,,,yes,,,,,,,,,,,,,,
Carex fuliginosa Schkuhr,Plantae,Tracheophyta,Magnoliopsida,Осока темно-бура,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex globularis L.,Plantae,Tracheophyta,Magnoliopsida,Осока кулястоподібна,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex heleonastes Ehrh.,Plantae,Tracheophyta,Magnoliopsida,Осока торфова,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex hostiana DC.,Plantae,Tracheophyta,Magnoliopsida,Осока Хоста,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex lachenalii Schkuhr,Plantae,Tracheophyta,Magnoliopsida,Осока Лахеналя,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex liparocarpos Gaud.,Plantae,Tracheophyta,Magnoliopsida,Осока блискуча,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,
Carex loliacea L.,Plantae,Tracheophyta,Magnoliopsida,Осока пажитницеподібна,,,,,,,,,,,зникаючий,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
Carex obtusata Liljebl.,Plantae,Tracheophyta,Magnoliopsida,Осока притуплена,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pauciflora Lightf.,Plantae,Tracheophyta,Magnoliopsida,Осока малоквіткова,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pediformis C.A. Mey.,Plantae,Tracheophyta,Magnoliopsida,Осока лапкоподібна,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,
Carex rupestris All.,Plantae,Tracheophyta,Magnoliopsida,Осока скельна,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex secalina Willd. ex Wahlenb.,Plantae,Tracheophyta,Magnoliopsida,Осока житня,,,,,,,,,,,вразливий,,yes,,,,yes,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes
Carex strigosa Huds.,Plantae,Tracheophyta,Magnoliopsida,Осока щетиниста,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex vaginata Tausch,Plantae,Tracheophyta,Magnoliopsida,Осока піхвова,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladium mariscus (L.) Pohl,Plantae,Tracheophyta,Magnoliopsida,Меч-трава болотна,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Eleocharis carniolica W.D.J.Koch,Plantae,Tracheophyta,Magnoliopsida,Ситняг карніолійський,,,,,,,yes,yes,,,вразливий,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleocharis mamillata Lindb. f.,Plantae,Tracheophyta,Magnoliopsida,Ситняг сосочкоподібний,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleocharis multicaulis (Smith) Desv.,Plantae,Tracheophyta,Magnoliopsida,Ситняг багатостебловий,,,,,,,,,,,зниклий у природі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleocharis oxylepis (Meinsh.) B. Fedtsch.,Plantae,Tracheophyta,Magnoliopsida,Ситняг гостролусковий,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis bisumbellata (Forsk.) Bub.,Plantae,Tracheophyta,Magnoliopsida,Комишник двороздільний,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi,Plantae,Tracheophyta,Magnoliopsida,Куга гострокінцева,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenus ferrugineus L.,Plantae,Tracheophyta,Magnoliopsida,Сашник іржавий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichophorum alpinum (L.) Pers.,Plantae,Tracheophyta,Magnoliopsida,Пухівочка альпійська,,,,,,,,,,,недостатньо відомий,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,
Hyacinthella pallasiana (Steven) Losinsk.,Plantae,Tracheophyta,Magnoliopsida,Гіацинтик Палласів,,,,,,,,,,,вразливий,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,yes,,yes
Ornithogalum amphibolum Zahar.,Plantae,Tracheophyta,Magnoliopsida,Рястка двозначна,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Ornithogalum boucheanum (Kunth) Asch.,Plantae,Tracheophyta,Magnoliopsida,Рястка Буше,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Ornithogalum oreoides Zahar.,Plantae,Tracheophyta,Magnoliopsida,Рястка гірська,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Ornithogalum refractum Schlecht.,Plantae,Tracheophyta,Magnoliopsida,Рястка відігнута,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Crocus angustifolius Weston,Plantae,Tracheophyta,Magnoliopsida,Шафран вузьколистий,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocus banaticus J.Gay,Plantae,Tracheophyta,Magnoliopsida,Шафран банатський,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocus heuffelianus Herb.,Plantae,Tracheophyta,Magnoliopsida,Шафран Гейфелів,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Crocus pallasii Goldb.,Plantae,Tracheophyta,Magnoliopsida,Шафран Палласа,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocus reticulatus Steven ex Adams,Plantae,Tracheophyta,Magnoliopsida,Шафран сітчастий,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Crocus speciosus M.Bieb.,Plantae,Tracheophyta,Magnoliopsida,Шафран гарний,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocus tauricus (Trautv.) Puring,Plantae,Tracheophyta,Magnoliopsida,Шафран кримський,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiolus imbricatus L.,Plantae,Tracheophyta,Magnoliopsida,Косарики черепитчасті,,,,,,,,,,,вразливий,,,,,,,,,,yes,,,,,yes,,,,,,,,yes,yes,,,,,,,
Gladiolus italicus Mill.,Plantae,Tracheophyta,Magnoliopsida,Косарики італійські,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiolus palustris Gaudin,Plantae,Tracheophyta,Magnoliopsida,Косарики болотні,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiolus tenuis M.Bieb.,Plantae,Tracheophyta,Magnoliopsida,Косарики тонкі,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Iris brandzae Prodan,Plantae,Tracheophyta,Liliopsida,Півники Брандзи,,,,,,,,,,,зникаючий,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
Iris furcata M.Bieb.,Plantae,Tracheophyta,Liliopsida,Півники рогаті,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,
Iris pineticola Klokov,Plantae,Tracheophyta,Liliopsida,Півники борові,,,,,yes,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Iris pontica Zapa?.,Plantae,Tracheophyta,Liliopsida,Півники понтичні,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Iris pseudocyperus Schur,Plantae,Tracheophyta,Liliopsida,Півники несправжньосмикавцеві,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris sibirica L.,Plantae,Tracheophyta,Liliopsida,Півники сибірські,,,,,,,,,,,вразливий,,,,,,yes,yes,,,yes,,,,,,,,,,,,,,yes,,,,,,,yes
Iris aphylla subsp. hungarica Hegi,Plantae,Tracheophyta,Liliopsida,Півники угорські,,,,,yes,,,,,,,,,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,yes,,yes,,,,yes,yes,,yes,,yes,,,
Juncus bulbosus L.,Plantae,Tracheophyta,Magnoliopsida,Ситник бульбистий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juncus sphaerocarpus Nees,Plantae,Tracheophyta,Magnoliopsida,Ситник кулястоплодий,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juncus subnodulosus Schrank,Plantae,Tracheophyta,Magnoliopsida,Ситник тупопелюстковий,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzula luzulina (Vill.) Racib.,Plantae,Tracheophyta,Magnoliopsida,Ожика ожикова,,,,,,,,,,,зниклий у природі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzula spicata (L.) DC.,Plantae,Tracheophyta,Magnoliopsida,Ожика колосиста,,,,,,,,,,,зниклий у природі,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,
Gagea spathacea (Hayne) Salisb.,Plantae,Tracheophyta,Magnoliopsida,Зірочки чохлуваті,,,,,,,,,,,рідкісний,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,,,,,,,,
Gagea serotina (L.) Ker Gawl.,Plantae,Tracheophyta,Magnoliopsida,Зірочник пізній,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythronium dens-canis L.,Plantae,Tracheophyta,Magnoliopsida,Еритроній собачий зуб,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fritillaria meleagris L.,Plantae,Tracheophyta,Magnoliopsida,Рябчик шаховий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fritillaria meleagroides Patrin ex Schult. & Schult.f.,Plantae,Tracheophyta,Magnoliopsida,Рябчик малий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fritillaria montana Hoppe,Plantae,Tracheophyta,Magnoliopsida,Рябчик гірський,,,,,,,,,,,зникаючий,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Fritillaria ruthenica Wikstr.,Plantae,Tracheophyta,Magnoliopsida,Рябчик руський,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Lilium martagon L.,Plantae,Tracheophyta,Magnoliopsida,Лілія лісова,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Lilium bulbiferum L.,Plantae,Tracheophyta,Magnoliopsida,Лілія цибулинконосна,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Muscari botryoides (L.) Mill.,Plantae,Tracheophyta,Magnoliopsida,Гадюча цибулька гроноподібна,,,,,,,,,,,зникаючий,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
Tulipa biflora Pall.,Plantae,Tracheophyta,Magnoliopsida,Тюльпан двоквітковий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulipa graniticola (Klokov & Zoz) Klokov,Plantae,Tracheophyta,Magnoliopsida,Тюльпан гранітний,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulipa hypanica Klokov & Zoz,Plantae,Tracheophyta,Magnoliopsida,Тюльпан бузький,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Tulipa ophiophylla Klokov & Zoz,Plantae,Tracheophyta,Magnoliopsida,Тюльпан змієлистий,,,,,,,,,,,вразливий,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
Tulipa quercetorum Klokov & Zoz,Plantae,Tracheophyta,Magnoliopsida,Тюльпан дібровний,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Tulipa schrenkii Regel,Plantae,Tracheophyta,Magnoliopsida,Тюльпан Шренка,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Tulipa scythica Klokov & Zoz,Plantae,Tracheophyta,Magnoliopsida,Тюльпан скіфський,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anacamptis coriophora (L.) R.M. Bateman, Pridgeon & M.W. Chase",Plantae,Tracheophyta,Magnoliopsida,Плодоріжка блощична,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacamptis fragrans (Pollini) R.M. Bateman,Plantae,Tracheophyta,Magnoliopsida,Плодоріжка запашна,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anacamptis laxiflora (Lam.) R.M. Bateman, Pridgeon & M.W. Chase",Plantae,Tracheophyta,Liliopsida,Плодоріжка рідкоквіткова,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
"Anacamptis morio (L.) R.M. Bateman, Pridgeon & M.W. Chase",Plantae,Tracheophyta,Liliopsida,Плодоріжка салепова,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
"Anacamptis palustris (Jacq.) R.M. Bateman, Pridgeon & M.W. Chase",Plantae,Tracheophyta,Liliopsida,Плодоріжка болотна,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Angelica palustris (Besser) Hoffm.,Plantae,Tracheophyta,Magnoliopsida,Дягель болотяний,,,,,yes,,yes,yes,,,,,yes,,,,,,,,,yes,,,yes,yes,,,yes,,,,,,,,,,,,,
Anacamptis picta (Loisel.) R.M. Bateman,Plantae,Tracheophyta,Magnoliopsida,Плодоріжка розмальована,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacamptis pyramidalis (L.) Rich.,Plantae,Tracheophyta,Magnoliopsida,Плодоріжка пірамідальна,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalanthera damasonium (Mill.) Druce,Plantae,Tracheophyta,Magnoliopsida,Булатка великоквіткова,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Cephalanthera longifolia (L.) Fritsch.,Plantae,Tracheophyta,Magnoliopsida,Булатка довголиста,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalanthera rubra (L.) Rich.,Plantae,Tracheophyta,Magnoliopsida,Булатка червона,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeloglossum viride (L.) C.Hartm.,Plantae,Tracheophyta,Magnoliopsida,Язичок зелений,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comperia comperiana (Steven) Asch. & Graebn.,Plantae,Tracheophyta,Magnoliopsida,Комперія кримська,,,,,,,,,,,зникаючий,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corallorhiza trifida Chatel.,Plantae,Tracheophyta,Magnoliopsida,Коральковець тричінадрізаний,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cypripedium calceolus L.,Plantae,Tracheophyta,Magnoliopsida,Зозулині черевички справжні,,,,,yes,,yes,yes,,,вразливий,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza cordigera (Fries) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки серценосні,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza fuchsii (Druce) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки Фукса,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza iberica (M.Bieb. ex Willd.) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки іберійські,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza incarnata (L.) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки м’ясочервоні,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Dactylorhiza maculata (L.) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки плямисті,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerhayes,Plantae,Tracheophyta,Magnoliopsida,Зозульки травневі,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Dactylorhiza romana (Seb.) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки римські,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza sambucina (L.) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки бузинові,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza transsilvanica (Schur) Aver.,Plantae,Tracheophyta,Magnoliopsida,Зозульки трансильванські,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylorhiza traunsteineri (Saut. ex Rchb.) Soу,Plantae,Tracheophyta,Magnoliopsida,Зозульки Траунштейнера,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epipactis albensis H.Novakova & Rydlo,Plantae,Tracheophyta,Magnoliopsida,Коручка ельбська,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epipactis atrorubens (Hoffm. ex Bernh.) Besser,Plantae,Tracheophyta,Magnoliopsida,Коручка темно-червона,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epipactis helleborine (L.) Crantz,Plantae,Tracheophyta,Magnoliopsida,Коручка чемерникоподібна,,,,,,,,,,,неоцінений,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Epipactis microphylla (Ehrh.) Sw.,Plantae,Tracheophyta,Magnoliopsida,Коручка дрібнолиста,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epipactis palustris (L.) Crantz,Plantae,Tracheophyta,Magnoliopsida,Коручка болотна,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes
Epipactis purpurata Smith,Plantae,Tracheophyta,Magnoliopsida,Коручка пурпурова,,,,,,,,,,,рідкісний,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,
Epipactis tallosii A. Molnar & Robatsch,Plantae,Tracheophyta,Magnoliopsida,Коручка Таллоші,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epipogium aphyllum Sw.,Plantae,Tracheophyta,Magnoliopsida,Надбородник безлистий,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyera repens (L.) R.Br.,Plantae,Tracheophyta,Magnoliopsida,Гудієра повзуча,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnadenia conopsea (L.) R.Br.,Plantae,Tracheophyta,Magnoliopsida,Билинець довгорогий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnadenia densiflora (Wahlenb.) A.Dietr.,Plantae,Tracheophyta,Magnoliopsida,Билинець щільноквітковий,,,,,,,,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnadenia odoratissima (L.) Rich.,Plantae,Tracheophyta,Magnoliopsida,Билинець найзапашніший,,,,,,,,,,,зникаючий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
